ID,Kp_Level,Kp_Range,Bz_Level,Bz_Range,Bt_Level,Bt_Range,Speed_Level,Speed_Range,Density_Level,Density_Range,Aurora_Probability_%,Aurora_Type,Aurora_Colors,Aurora_Structure,Latitude_Reach_°,Duration_Hours
594,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,21.1,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
595,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,22.1,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
596,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,21.6,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
597,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,22.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
598,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,24.0,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
599,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Extreme,>800 km/s,High,15-25 p/cm³,26.4,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
600,Quiet,0-2,Strong Southward,<-10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,27.6,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
601,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,9.7,None,N/A,N/A,>70°,0
602,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Slow,<400 km/s,Low,3-7 p/cm³,10.3,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
603,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,10.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
604,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Slow,<400 km/s,High,15-25 p/cm³,11.9,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
605,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very High,>25 p/cm³,12.4,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
606,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,12.2,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
607,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,12.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
608,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,13.5,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
609,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,14.9,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
610,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,15.5,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
611,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,15.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
612,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Low,3-7 p/cm³,16.7,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
613,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,17.6,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
614,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Fast,500-650 km/s,High,15-25 p/cm³,19.3,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
615,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very High,>25 p/cm³,20.2,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
616,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,19.4,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
617,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,20.5,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
618,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,21.6,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
619,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,23.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
620,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,24.8,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
621,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,24.3,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
622,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,25.6,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
623,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,27.0,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
624,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Extreme,>800 km/s,High,15-25 p/cm³,29.7,Faint,Faint green glow,"Diffuse patches, minimal structure",65-70°,0.5-1
625,Quiet,0-2,Strong Southward,<-10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,31.0,Minor,"Green, possibly yellow-green","Faint arcs, slow movement",60-65°,1-2
626,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.9,None,N/A,N/A,>70°,0
627,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.0,None,N/A,N/A,>70°,0
628,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.0,None,N/A,N/A,>70°,0
629,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,High,15-25 p/cm³,1.1,None,N/A,N/A,>70°,0
630,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.2,None,N/A,N/A,>70°,0
631,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.1,None,N/A,N/A,>70°,0
632,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.2,None,N/A,N/A,>70°,0
633,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.3,None,N/A,N/A,>70°,0
634,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,High,15-25 p/cm³,1.4,None,N/A,N/A,>70°,0
635,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,1.5,None,N/A,N/A,>70°,0
636,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,1.5,None,N/A,N/A,>70°,0
637,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Low,3-7 p/cm³,1.6,None,N/A,N/A,>70°,0
638,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,1.7,None,N/A,N/A,>70°,0
639,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,High,15-25 p/cm³,1.8,None,N/A,N/A,>70°,0
640,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very High,>25 p/cm³,1.9,None,N/A,N/A,>70°,0
641,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,1.8,None,N/A,N/A,>70°,0
642,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,1.9,None,N/A,N/A,>70°,0
643,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,2.0,None,N/A,N/A,>70°,0
644,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,2.2,None,N/A,N/A,>70°,0
645,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,2.3,None,N/A,N/A,>70°,0
646,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,2.3,None,N/A,N/A,>70°,0
647,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Low,3-7 p/cm³,2.4,None,N/A,N/A,>70°,0
648,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,2.5,None,N/A,N/A,>70°,0
649,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,High,15-25 p/cm³,2.8,None,N/A,N/A,>70°,0
650,Unsettled,3,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very High,>25 p/cm³,2.9,None,N/A,N/A,>70°,0
651,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very Low,<3 p/cm³,1.1,None,N/A,N/A,>70°,0
652,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.1,None,N/A,N/A,>70°,0
653,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.2,None,N/A,N/A,>70°,0
654,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,High,15-25 p/cm³,1.3,None,N/A,N/A,>70°,0
655,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.4,None,N/A,N/A,>70°,0
656,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.4,None,N/A,N/A,>70°,0
657,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.4,None,N/A,N/A,>70°,0
658,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.5,None,N/A,N/A,>70°,0
659,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,High,15-25 p/cm³,1.7,None,N/A,N/A,>70°,0
660,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,1.7,None,N/A,N/A,>70°,0
661,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,1.8,None,N/A,N/A,>70°,0
662,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Low,3-7 p/cm³,1.9,None,N/A,N/A,>70°,0
663,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,2.0,None,N/A,N/A,>70°,0
664,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,High,15-25 p/cm³,2.1,None,N/A,N/A,>70°,0
665,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very High,>25 p/cm³,2.2,None,N/A,N/A,>70°,0
666,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,2.2,None,N/A,N/A,>70°,0
667,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,2.3,None,N/A,N/A,>70°,0
668,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,2.4,None,N/A,N/A,>70°,0
669,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,2.6,None,N/A,N/A,>70°,0
670,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,2.8,None,N/A,N/A,>70°,0
671,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,2.7,None,N/A,N/A,>70°,0
672,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Low,3-7 p/cm³,2.8,None,N/A,N/A,>70°,0
673,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,3.0,None,N/A,N/A,>70°,0
674,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,High,15-25 p/cm³,3.3,None,N/A,N/A,>70°,0
675,Unsettled,3,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very High,>25 p/cm³,3.4,None,N/A,N/A,>70°,0
676,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very Low,<3 p/cm³,1.2,None,N/A,N/A,>70°,0
677,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.3,None,N/A,N/A,>70°,0
678,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.3,None,N/A,N/A,>70°,0
679,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,High,15-25 p/cm³,1.5,None,N/A,N/A,>70°,0
680,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.5,None,N/A,N/A,>70°,0
681,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.5,None,N/A,N/A,>70°,0
682,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.6,None,N/A,N/A,>70°,0
683,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.7,None,N/A,N/A,>70°,0
684,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,High,15-25 p/cm³,1.8,None,N/A,N/A,>70°,0
685,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,1.9,None,N/A,N/A,>70°,0
686,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,1.9,None,N/A,N/A,>70°,0
687,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Low,3-7 p/cm³,2.0,None,N/A,N/A,>70°,0
688,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,2.1,None,N/A,N/A,>70°,0
689,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,High,15-25 p/cm³,2.4,None,N/A,N/A,>70°,0
690,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very High,>25 p/cm³,2.5,None,N/A,N/A,>70°,0
691,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,2.4,None,N/A,N/A,>70°,0
692,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,2.5,None,N/A,N/A,>70°,0
693,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,2.6,None,N/A,N/A,>70°,0
694,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,2.9,None,N/A,N/A,>70°,0
695,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,3.0,None,N/A,N/A,>70°,0
696,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,3.0,None,N/A,N/A,>70°,0
697,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Low,3-7 p/cm³,3.1,None,N/A,N/A,>70°,0
698,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,3.3,None,N/A,N/A,>70°,0
699,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,High,15-25 p/cm³,3.6,None,N/A,N/A,>70°,0
700,Unsettled,3,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very High,>25 p/cm³,3.8,None,N/A,N/A,>70°,0
701,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,1.3,None,N/A,N/A,>70°,0
702,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.4,None,N/A,N/A,>70°,0
703,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.4,None,N/A,N/A,>70°,0
704,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,High,15-25 p/cm³,1.6,None,N/A,N/A,>70°,0
705,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.7,None,N/A,N/A,>70°,0
706,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.6,None,N/A,N/A,>70°,0
707,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.7,None,N/A,N/A,>70°,0
708,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.8,None,N/A,N/A,>70°,0
709,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,2.0,None,N/A,N/A,>70°,0
710,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,2.1,None,N/A,N/A,>70°,0
711,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,2.1,None,N/A,N/A,>70°,0
712,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Low,3-7 p/cm³,2.2,None,N/A,N/A,>70°,0
713,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,2.3,None,N/A,N/A,>70°,0
714,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,High,15-25 p/cm³,2.6,None,N/A,N/A,>70°,0
715,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Very High,>25 p/cm³,2.7,None,N/A,N/A,>70°,0
716,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,2.6,None,N/A,N/A,>70°,0
717,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,2.7,None,N/A,N/A,>70°,0
718,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,2.9,None,N/A,N/A,>70°,0
719,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,3.2,None,N/A,N/A,>70°,0
720,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,3.3,None,N/A,N/A,>70°,0
721,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,3.2,None,N/A,N/A,>70°,0
722,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,3.4,None,N/A,N/A,>70°,0
723,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,3.6,None,N/A,N/A,>70°,0
724,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,High,15-25 p/cm³,4.0,None,N/A,N/A,>70°,0
725,Unsettled,3,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,4.1,None,N/A,N/A,>70°,0
726,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,1.5,None,N/A,N/A,>70°,0
727,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.5,None,N/A,N/A,>70°,0
728,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.6,None,N/A,N/A,>70°,0
729,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,High,15-25 p/cm³,1.8,None,N/A,N/A,>70°,0
730,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.9,None,N/A,N/A,>70°,0
731,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.8,None,N/A,N/A,>70°,0
732,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.9,None,N/A,N/A,>70°,0
733,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,2.0,None,N/A,N/A,>70°,0
734,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,2.2,None,N/A,N/A,>70°,0
735,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,2.3,None,N/A,N/A,>70°,0
736,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,2.4,None,N/A,N/A,>70°,0
737,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Low,3-7 p/cm³,2.5,None,N/A,N/A,>70°,0
738,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,2.6,None,N/A,N/A,>70°,0
739,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,High,15-25 p/cm³,2.9,None,N/A,N/A,>70°,0
740,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very High,>25 p/cm³,3.0,None,N/A,N/A,>70°,0
741,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,2.9,None,N/A,N/A,>70°,0
742,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,3.1,None,N/A,N/A,>70°,0
743,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,3.2,None,N/A,N/A,>70°,0
744,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,3.6,None,N/A,N/A,>70°,0
745,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,3.7,None,N/A,N/A,>70°,0
746,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,3.6,None,N/A,N/A,>70°,0
747,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,3.8,None,N/A,N/A,>70°,0
748,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,4.1,None,N/A,N/A,>70°,0
749,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,High,15-25 p/cm³,4.5,None,N/A,N/A,>70°,0
750,Unsettled,3,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,4.7,None,N/A,N/A,>70°,0
751,Unsettled,3,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very Low,<3 p/cm³,2.8,None,N/A,N/A,>70°,0
752,Unsettled,3,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Low,3-7 p/cm³,2.9,None,N/A,N/A,>70°,0
753,Unsettled,3,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Normal,7-15 p/cm³,3.1,None,N/A,N/A,>70°,0
754,Unsettled,3,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,High,15-25 p/cm³,3.4,None,N/A,N/A,>70°,0
755,Unsettled,3,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very High,>25 p/cm³,3.5,None,N/A,N/A,>70°,0
